,KKKD068,KKKD068_V1,KKKD068_V2,KKU055,KKU055_V1,KKU055_V2,KKU213c,KKU213c_V1,KKU213c_V2,RBE,RBE_V1,RBE_V2
ENSG00000006377,0.545343,1.002189,1.319597,0.438522,0.032871,0.052794,0,0,0,0,0,0
ENSG00000006432,4.296892,5.229562,4.902329,3.914373,4.963686,4.303925,8.548808,7.405293,8.584963,5.979938,5.254871,5.262629
ENSG00000006451,49.67885,54.712813,50.490044,36.368153,37.585053,35.997839,34.321421,35.262591,47.224134,28.06478,34.269796,36.58823
ENSG00000006453,73.619207,60.298699,66.560157,13.389518,24.554462,22.962896,36.624478,35.801768,34.673771,54.310939,56.964266,53.878978
ENSG00000006459,0.578991,5.323854,2.655051,1.449057,3.264727,3.415312,12.405053,11.696586,12.434096,0.778096,1.320219,1.52641
ENSG00000006468,9.572389,17.480974,22.494904,11.153859,20.190958,21.180456,4.042563,18.525764,16.279713,12.763043,16.322825,15.262263
ENSG00000006530,36.660333,27.256617,34.781162,48.049796,53.015396,44.4152,36.612883,24.055556,24.079342,29.617308,20.075862,13.684698
ENSG00000006534,28.329814,7.962663,10.148716,3.794611,2.940205,2.166611,8.393227,6.728643,5.614652,17.662192,11.266148,9.626009
ENSG00000006555,1.967903,0.698708,1.361336,0.100808,0.568508,0.355243,1.195831,1.546939,1.607447,0.063561,0.264704,0.344544
ENSG00000006576,40.285226,49.501877,51.629406,21.654241,23.936067,28.581755,19.446225,19.149711,19.413816,12.647834,11.467948,11.409246
ENSG00000006606,0,0.591742,1.657655,0,0,0,1.314938,0.831746,2.304405,0,0.912562,0.33408
ENSG00000006607,11.419677,12.133566,12.057385,14.896169,21.121522,20.888165,13.915369,15.88308,13.814318,26.384728,26.977954,29.226056
ENSG00000006611,0,0.29519,0.068429,0.135662,1.741046,2.430258,0,0.048225,0.123668,8.177448,14.147323,17.033762
ENSG00000006625,70.350576,65.683223,60.960091,123.09619,104.105025,102.307618,141.4894,109.122182,117.757115,86.492369,72.59991,55.922222
ENSG00000006634,78.63034,61.489676,60.185263,57.030805,47.155784,41.281303,45.196672,30.492248,32.260646,26.68866,11.894089,6.817366
ENSG00000006638,0.859444,1.774411,1.267457,1.067383,1.746315,2.00633,1.045406,0.879536,0.960935,0.663771,0.915282,1.219884
ENSG00000006652,90.414505,91.107665,86.758535,65.094156,52.513077,52.023086,51.810562,35.740266,38.487692,45.313437,40.54515,32.799981
ENSG00000006659,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006695,11.758646,6.37425,5.53518,7.431798,5.183724,4.808026,13.818932,9.617353,12.378851,12.38993,9.52649,6.645377
ENSG00000006704,22.803922,21.603456,26.095109,17.703724,13.541413,12.379148,9.301247,4.563387,5.000277,10.474406,8.174641,7.920872
ENSG00000006712,119.323481,96.246519,89.521756,45.511586,34.816033,33.180524,54.389559,28.455986,32.045074,29.217866,26.392543,20.336386
ENSG00000006715,31.637711,39.270621,43.775978,35.162724,30.672346,31.007954,21.344573,31.562529,36.631794,35.822392,29.872821,36.234129
ENSG00000006740,0.19778,0.774969,0.825294,1.467728,2.931789,2.457217,1.48138,1.839374,2.526485,0.215251,0.219432,0.25594
ENSG00000006744,56.408104,45.89202,55.064588,36.19605,27.81035,24.041674,68.763629,49.09068,51.338808,56.644641,41.961817,34.543338
ENSG00000006747,0.529614,4.169089,4.772639,2.310352,17.05185,16.050211,1.74871,4.186045,5.436884,0.254803,0.873473,1.297671
ENSG00000006756,22.818841,9.865337,11.411202,15.408141,5.84462,7.002896,5.333972,2.358219,3.326519,13.386508,4.783393,2.419891
ENSG00000006757,1.277032,12.536697,9.351078,12.67886,22.872708,18.122959,24.861415,21.822704,29.930665,26.47092,30.552058,24.063373
ENSG00000006788,0,0.014184,0.068752,0,0,0,0,0.065006,0.034451,0,0,0
ENSG00000006831,66.182856,62.762428,61.309546,47.583736,42.753664,44.352417,76.615864,65.280408,71.810902,56.715604,54.178283,55.583351
ENSG00000006837,3.370404,1.705488,3.015115,3.792831,3.225176,1.616992,1.207016,1.938356,0.822349,0.741408,3.500289,1.463734
ENSG00000007001,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007038,38.725141,39.942011,35.156667,0,0,0,0,0,0,0,0,0
ENSG00000007047,8.855734,10.341757,9.477274,10.459039,26.906461,23.208632,3.653765,5.941693,11.164779,9.979774,10.502932,17.817242
ENSG00000007062,0.111095,0.15488,0.313624,11.827719,8.916424,10.766279,1.628774,2.991026,2.313467,0.072187,0.167429,0.202402
ENSG00000007080,80.856314,100.099969,101.177445,109.994014,174.248048,158.775607,272.422835,341.607856,356.077838,93.446533,102.505758,110.494605
ENSG00000007129,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007168,119.117704,111.717311,114.122429,61.315293,46.756838,41.124388,84.556867,78.780368,80.797254,68.117739,59.444373,49.460371
ENSG00000007171,0,0.077955,0.069359,0.251922,0.480576,0.67693,0,0.014874,0.012431,0,0.020362,0
ENSG00000007174,0,0,0,0.392799,1.141183,0.499659,0.036743,0.087393,0.040568,0.079143,0,0.08982
ENSG00000007202,87.911746,75.750094,78.06583,68.446178,64.705665,62.49967,99.012583,80.209129,80.545728,84.54965,89.589483,83.185576
ENSG00000007216,0,0,0,0,0,0,0,0.044475,0,0,0.122839,0.077397
ENSG00000007237,3.350684,2.359025,2.364775,0,0.031158,0,3.820487,4.853874,7.549292,0.321549,0.898021,0.72842
ENSG00000007255,59.011162,71.530104,71.077226,7.121714,10.736555,6.717277,2.752981,8.677855,8.439187,29.854166,33.149121,42.005868
ENSG00000007264,1.936132,5.064801,4.173636,0,0.122277,0,0,0,0.212074,0.137748,0,0
ENSG00000007306,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007312,0,0,0,0,0.074205,0.053965,0,0.05062,0,0,0,0
ENSG00000007314,0.069144,0.544267,0.559495,0,0.689663,0.01436,0.00806,0.006094,0.012918,0.017367,0.216883,1.126345
ENSG00000007341,23.364818,16.620723,22.172672,17.849328,17.270473,18.153137,18.46917,15.632221,17.702404,13.553545,13.006388,11.041028
ENSG00000007350,0,0.104231,0,0,0,0,0,0.019876,0,0,0,0.021917
ENSG00000007372,4.275097,3.956517,4.851606,8.570588,20.226759,12.653055,0.063863,0.071368,0.046007,0.106704,0.147891,0.015181
ENSG00000007376,30.957829,31.199578,29.772453,31.083352,32.028657,33.820734,37.193885,28.437083,29.580884,44.569097,33.966439,20.801247
ENSG00000007384,18.750763,16.897058,17.205511,4.000085,10.747488,7.996847,12.958646,9.215512,9.943037,11.26604,14.438058,17.923395
ENSG00000007392,26.982547,17.793165,14.781881,69.64553,46.450951,45.051185,17.589907,9.057322,9.95681,49.363431,29.777478,28.729963
ENSG00000007402,0.023307,0.17605,0.426118,0.11324,0.109034,0.170781,0,0.040451,0.021446,0.02647,0.120139,0.092253
ENSG00000007516,0.43466,1.799325,1.128339,0.461464,1.396591,0.388048,0.06718,0.26563,0.326629,2.785003,6.139108,5.073437
ENSG00000007520,43.5307,36.047769,33.089951,40.525997,34.666257,36.684995,62.40352,41.845207,44.505991,70.592929,51.925533,44.31061
ENSG00000007541,34.299629,69.62218,55.078247,18.544061,28.522566,21.816356,12.882416,22.128562,26.37931,33.625792,51.879563,46.186322
ENSG00000007545,7.17969,7.21522,6.472191,11.523563,12.78484,11.402689,7.951326,6.789332,6.269664,11.245553,14.636776,17.890413
ENSG00000007866,23.953409,17.576431,18.954652,2.095909,4.702691,4.345452,16.275043,13.963792,14.340833,6.381619,7.586353,7.230219
ENSG00000007908,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007923,54.920704,36.177634,38.518928,78.918205,60.830585,56.048775,49.462518,38.735876,39.948792,23.775163,22.523987,19.447716
ENSG00000007933,0.95012,4.136995,4.712003,0.349792,0,0.029513,0,0.254979,0.516418,0,0.213355,0
ENSG00000007944,7.496423,9.956933,8.774579,4.305925,5.02169,5.473848,4.817478,8.976155,8.653367,4.977122,6.374062,8.007342
ENSG00000007952,0,0,0,0,0,0,0,0.021233,0,0,0,0
ENSG00000007968,7.973425,12.084161,10.604579,12.238816,16.292765,13.678316,2.46466,1.146105,1.294055,4.472055,4.621992,2.292755
ENSG00000008018,331.953282,359.621015,375.487842,254.602105,280.847833,271.183715,397.921847,424.494765,470.028382,278.867451,317.60765,318.516314
ENSG00000008056,0.383242,4.138116,5.06065,0.230628,0.372749,0.21626,0,0.295126,0,0.021507,0,0.24766
