"","SYMBOL","GR.response.to.iNKT","VIP","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"105","MAPRE3"," -0.0056",1.2393,15.682535,17.159604,4.254133,1.704025
"106","MAST1"," -0.0057",1.2383,12.676874,15.167951,2.406142,1.157612
"107","MCM10"," -0.0062",1.1715,2.546093,2.961135,1.142748,1.757449
"108","MCM2"," -0.0048",0.954,10.058757,14.988005,7.496824,9.136033
"109","MEIS3"," -0.0057",1.2153,16.088736,11.682629,1.661264,0
"110","METRN"," -0.0047",1.0597,77.268331,40.69708,22.659342,6.53015
"111","MORN3","0.0058",1.0418,16.128565,14.028403,19.909901,17.177059
"112","MPDU1","0.0044",1.1225,7.814158,9.72001,19.272475,30.742395
"113","MUC1","0.0057",0.8808,0.840973,4.100815,17.098002,4.715968
"114","NCDN","0.0043",1.0764,42.697233,76.819275,100.627082,139.531159
"115","NHEJ1","0.0042",1.0858,1.780378,2.954566,4.498254,7.104477
"116","NINJ2","0.0034",1.0036,0.897679,1.348374,4.112181,11.203925
"117","NIPSNAP3A","0.0038",1.0536,4.096316,5.186304,8.886801,16.162168
"118","NKG7","0.0063",1.2338,193.283135,156.516442,616.528121,513.495482
