"","Gene","SYMBOL","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"10914","ENSG00000163399","ATP1A1","476",145.214684,151.490759,133.82783,127.779928
"10915","ENSG00000163406","SLC15A2","6565",4.499106,4.472995,6.589299,1.737126
"10916","ENSG00000163412","EIF4E3","317649",41.546622,49.988062,35.636,45.951974
"10917","ENSG00000163421","PROK2","60675",6.704068,7.079178,7.181725,5.232607
"10919","ENSG00000163428","LRRC58","116064",9.995668,11.938289,9.202803,7.298562
"10920","ENSG00000163430","FSTL1","11167",0,0.012595,0.197403,0.523636
"10922","ENSG00000163435","ELF3","1999",0.511746,1.509164,1.936646,0.16079
"10924","ENSG00000163444","TMEM183A","92703",118.97148,91.995805,80.213286,78.691044
"10925","ENSG00000163449","TMEM169","92691",4.109766,2.017052,2.28789,1.724478
"10926","ENSG00000163453","IGFBP7","3490",0.17585,0.551587,1.031582,0.196258
"10927","ENSG00000163462","TRIM46","80128",11.440375,12.509384,11.406265,9.213053
"10928","ENSG00000163463","KRTCAP2","200185",180.116528,215.8979,159.626305,235.655695
"10929","ENSG00000163464","CXCR1","3577",0.430581,2.344529,0.27074,2.008239
"10930","ENSG00000163466","ARPC2","10109",586.846534,668.40945,642.7616,644.682761
"10932","ENSG00000163468","CCT3","7203",99.00589,99.423883,76.348512,81.227244
"10933","ENSG00000163472","TMEM79","84283",8.176604,9.6528,12.380659,11.158017
"10934","ENSG00000163479","SSR2","6746",400.318636,409.359931,371.179465,518.978324
"10935","ENSG00000163481","RNF25","64320",26.840441,24.174219,20.088364,25.806804
"10936","ENSG00000163482","STK36","27148",23.789065,25.967162,30.319915,20.903169
"10938","ENSG00000163491","NEK10","152110",0.998839,1.783772,2.34651,1.217682
"10939","ENSG00000163492","CCDC141","285025",0.580252,0.560559,0.773625,0.654421
"10943","ENSG00000163507","CIP2A","57650",7.769291,12.01845,8.790385,10.917011
"10944","ENSG00000163508","EOMES","8320",21.821669,17.04998,32.867058,29.295382
"10945","ENSG00000163510","CWC22","57703",14.613682,14.361431,16.809442,19.017859
"10946","ENSG00000163512","AZI2","64343",64.166645,78.577588,47.099914,68.090271
"10947","ENSG00000163513","TGFBR2","7048",63.53411,67.605335,100.174185,88.972246
"10949","ENSG00000163516","ANKZF1","55139",226.898772,134.316142,180.0147,116.524174
"10950","ENSG00000163517","HDAC11","79885",4.142773,4.364696,2.381174,2.234171
"10952","ENSG00000163519","TRAT1","50852",85.260125,131.726008,123.980088,112.813067
"10953","ENSG00000163520","FBLN2","2199",0.017734,0.055525,0,0.01961
"10954","ENSG00000163521","GLB1L","79411",5.28085,7.031292,3.882129,4.065972
"10955","ENSG00000163527","STT3B","201595",136.170722,155.733796,156.76572,163.724658
"10956","ENSG00000163528","CHCHD4","131474",7.340672,5.45089,6.48812,7.801488
"10958","ENSG00000163531","NFASC","23114",0.014773,0.074051,0.055747,0.049039
"10960","ENSG00000163535","SGO2","151246",8.765793,12.249667,9.519022,9.342385
"10961","ENSG00000163536","SERPINI1","5274",12.856534,10.146223,3.529735,3.578845
"10962","ENSG00000163539","CLASP2","23122",15.604246,19.329548,18.334621,15.958225
