"","Gene","SYMBOL","ENTREZID","KKU213c","KKU213c_V1","KKU213c_V2"
"17276","ENSG00000198060","MARCHF5","54708",42.854506,35.222228,37.097633
"17279","ENSG00000198074","AKR1B10","57016",6.582394,15.620885,17.15172
"17280","ENSG00000198075","SULT1C4","27233",0.037791,0.028589,0
"17282","ENSG00000198081","ZBTB14","7541",7.024896,4.859811,6.101437
"17284","ENSG00000198087","CD2AP","23607",32.50947,34.347927,34.806699
"17285","ENSG00000198088","NUP62CL","54830",15.420364,13.535938,12.848535
"17286","ENSG00000198089","SFI1","9814",17.484641,14.348115,16.31272
"17287","ENSG00000198090","KRTAP4-6","81871",0.150998,0.285771,0
"17288","ENSG00000198092","TMPRSS11F","389208",0,0.050087,0.106239
"17289","ENSG00000198093","ZNF649","65251",2.20945,3.028395,4.72775
"17292","ENSG00000198105","ZNF248","57209",2.738654,4.638487,3.091081
"17293","ENSG00000198108","CHSY3","337876",1.58578,2.303612,1.870855
"17294","ENSG00000198113","TOR4A","54863",18.383772,8.078436,7.248963
"17295","ENSG00000198121","LPAR1","1902",69.673902,80.731925,85.427941
"17296","ENSG00000198125","MB","4151",0.748061,3.287306,2.945616
"17298","ENSG00000198130","HIBCH","26275",8.625383,13.562673,14.724824
"17299","ENSG00000198131","ZNF544","27300",13.617275,22.90808,14.565626
"17300","ENSG00000198133","TMEM229B","161145",0,0.074838,0.145449
"17302","ENSG00000198142","SOWAHC","65124",12.462826,13.685344,14.761496
"17303","ENSG00000198146","ZNF770","54989",20.371148,20.320616,23.477814
"17306","ENSG00000198156","NPIPB6","728741",1.150879,0.706417,0.218439
"17307","ENSG00000198157","HMGN5","79366",4.934916,20.71524,21.774688
"17308","ENSG00000198160","MIER1","57708",14.603047,12.420629,13.385897
"17309","ENSG00000198162","MAN1A2","10905",9.498232,10.185209,12.558918
"17310","ENSG00000198168","SVIP","258010",61.48499,91.999478,93.663578
"17312","ENSG00000198171","DDRGK1","65992",88.036972,48.129109,47.923041
"17314","ENSG00000198176","TFDP1","7027",179.70607,87.792423,97.856736
"17316","ENSG00000198182","ZNF607","84775",2.29243,3.04402,3.71433
"17318","ENSG00000198185","ZNF334","55713",0,0.028444,0.108714
"17319","ENSG00000198189","HSD17B11","51170",35.969023,36.578975,44.16332
"17320","ENSG00000198198","SZT2","23334",7.83313,15.083235,12.802802
"17321","ENSG00000198203","SULT1C2","6819",0.398744,0.067752,0.047874
"17322","ENSG00000198205","ZXDA","7789",1.358917,1.225264,0.955314
"17323","ENSG00000198208","RPS6KL1","83694",12.01011,5.459798,7.635988
"17327","ENSG00000198218","QRICH1","54870",40.597558,34.281917,34.558988
"17328","ENSG00000198223","CSF2RA","1438",23.473878,18.563,15.48894
"17329","ENSG00000198225","FKBP1C","642489",0.046198,0.074536,0.061388
"17330","ENSG00000198231","DDX42","11325",49.999372,43.126949,47.260223
"17332","ENSG00000198242","RPL23A","6147",2143.429704,1880.644914,1996.555398
"17333","ENSG00000198246","SLC29A3","55315",5.759281,4.582208,4.431583
"17335","ENSG00000198252","STYX","6815",10.265361,11.029296,12.864212
"17336","ENSG00000198258","UBL5","59286",470.858737,635.550518,727.547683
"17338","ENSG00000198265","HELZ","9931",11.921214,12.935611,12.547708
"17339","ENSG00000198270","TMEM116","89894",18.067537,13.749288,15.831478
"17341","ENSG00000198276","UCKL1","54963",38.800654,15.207536,17.686023
"17345","ENSG00000198286","CARD11","84433",17.48998,12.944382,13.004121
"17346","ENSG00000198298","ZNF485","220992",3.056014,2.474977,2.787385
"17347","ENSG00000198300","PEG3","5178",0,0.006224,0.024359
"17348","ENSG00000198301","SDAD1","55153",82.682971,84.013778,89.129583
"17349","ENSG00000198312","BMS1P9","653458",0.109242,0,1.342807
"17350","ENSG00000198315","ZKSCAN8","7745",8.982856,9.223294,10.642395
"17351","ENSG00000198324","PHETA1","144717",9.465321,9.556488,10.023686
"17353","ENSG00000198331","HYLS1","219844",14.9118,4.610377,5.786862
"17355","ENSG00000198342","ZNF442","79973",0.110032,0.568847,0.738325
"17356","ENSG00000198346","ZNF813","126017",1.016193,1.527857,1.270294
"17357","ENSG00000198353","HOXC4","3221",0.472586,0.715078,0.586164
"17359","ENSG00000198355","PIM3","415116",58.780346,40.641734,40.469805
