"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"10956","ENSG00000163528","CHCHD4","131474",50.210795,32.501164,31.498723
"10958","ENSG00000163531","NFASC","23114",2.009066,7.787084,6.362748
"10960","ENSG00000163535","SGO2","151246",14.475161,16.786891,16.178494
"10961","ENSG00000163536","SERPINI1","5274",3.269544,9.194596,14.019581
"10962","ENSG00000163539","CLASP2","23122",23.457916,18.478561,19.665564
"10963","ENSG00000163541","SUCLG1","8802",46.272883,71.777877,67.857743
"10964","ENSG00000163545","NUAK2","81788",17.909256,19.09002,17.910481
"10966","ENSG00000163558","PRKCI","5584",21.556409,22.501921,22.223028
"10968","ENSG00000163564","PYHIN1","149628",0.044114,0,0.077765
"10969","ENSG00000163565","IFI16","3428",1.233585,3.950748,4.514378
"10971","ENSG00000163576","EFHB","151651",0.339531,0.168648,1.333059
"10972","ENSG00000163577","EIF5A2","56648",13.625427,14.036721,13.080712
"10974","ENSG00000163584","RPL22L1","200916",46.343773,38.592549,35.190988
"10976","ENSG00000163590","PPM1L","151742",4.472189,3.779414,3.607425
"10977","ENSG00000163596","ICA1L","130026",9.275362,8.465639,4.767786
"10981","ENSG00000163605","PPP4R2","151987",38.353233,61.077181,53.913077
"10982","ENSG00000163606","CD200R1","131450",0,0.263607,0.063266
"10983","ENSG00000163607","GTPBP8","29083",19.354418,14.842197,14.827164
"10984","ENSG00000163608","NEPRO","25871",32.019561,29.866742,28.144971
"10985","ENSG00000163611","SPICE1","152185",5.294424,4.925366,5.983327
"10987","ENSG00000163617","CCDC191","57577",1.378311,2.35518,2.362745
"10988","ENSG00000163618","CADPS","8618",0.086732,0.043436,0.057299
"10989","ENSG00000163623","NKX6-1","4825",6.740958,7.661661,7.586288
"10990","ENSG00000163624","CDS1","1040",7.809522,10.586112,11.978596
"10991","ENSG00000163625","WDFY3","23001",26.913668,18.973551,16.924247
"10992","ENSG00000163626","COX18","285521",31.511358,23.641248,28.469274
"10993","ENSG00000163629","PTPN13","5783",15.775005,11.37247,11.107657
"10998","ENSG00000163634","THOC7","80145",101.46626,101.435821,105.806824
"10999","ENSG00000163635","ATXN7","6314",14.19258,13.648714,10.447773
"11000","ENSG00000163636","PSMD6","9861",216.814565,285.951866,293.734944
"11001","ENSG00000163637","PRICKLE2","166336",26.871447,19.849932,20.951124
"11002","ENSG00000163638","ADAMTS9","56999",1.450072,2.260992,2.920598
"11003","ENSG00000163644","PPM1K","152926",3.668971,4.525604,4.138144
"11004","ENSG00000163645","ERICH6","131831",0,0.044849,0.072035
"11006","ENSG00000163655","GMPS","8833",90.642847,96.200059,86.292834
"11007","ENSG00000163659","TIPARP","25976",36.698322,43.275109,41.833211
"11008","ENSG00000163660","CCNL1","57018",50.837883,56.27131,60.180723
"11009","ENSG00000163661","PTX3","5806",0.039876,0.079888,0.224546
"11010","ENSG00000163666","HESX1","8820",2.672093,5.722806,2.698244
"11012","ENSG00000163681","SLMAP","7871",39.483374,41.487573,41.026733
"11013","ENSG00000163682","RPL9","6133",2100.003727,2129.612243,2176.27185
"11014","ENSG00000163683","SMIM14","201895",10.656898,12.942748,12.335524
"11015","ENSG00000163684","RPP14","11102",25.391607,23.474464,18.831777
"11016","ENSG00000163686","ABHD6","57406",4.334912,8.86423,6.678065
"11018","ENSG00000163689","CFAP20DC","200844",5.114901,7.84976,7.635632
"11019","ENSG00000163694","RBM47","54502",5.255584,7.903809,6.618498
"11020","ENSG00000163697","APBB2","323",13.357497,14.445433,17.588364
"11021","ENSG00000163701","IL17RE","132014",0.903594,1.673165,1.656056
"11022","ENSG00000163702","IL17RC","84818",33.558437,46.678619,39.66953
"11023","ENSG00000163703","CRELD1","78987",21.58132,32.070626,26.974132
"11024","ENSG00000163704","PRRT3","285368",13.267223,20.820266,22.182272
"11026","ENSG00000163710","PCOLCE2","26577",3.364096,3.523485,4.667544
"11027","ENSG00000163714","U2SURP","23350",139.127921,121.352896,127.172555
"11028","ENSG00000163719","MTMR14","64419",40.88694,31.375768,29.614791
"11029","ENSG00000163728","TTC14","151613",14.686689,13.972724,13.370436
"11030","ENSG00000163734","CXCL3","2921",9.826316,11.79816,8.289353
"11031","ENSG00000163735","CXCL5","6374",17.760548,26.058414,23.959765
"11033","ENSG00000163737","PF4","5196",0,0.949866,1.8314
"11034","ENSG00000163738","MTHFD2L","441024",14.908495,11.087522,13.749458
"11035","ENSG00000163739","CXCL1","2919",49.866358,132.973428,136.036926
"11036","ENSG00000163743","RCHY1","25898",42.440013,38.667041,40.978063
"11038","ENSG00000163749","CCDC158","339965",0.042882,0.128923,0.9206
"11040","ENSG00000163754","GYG1","2992",48.237549,44.493949,43.35429
